"帧号
frame","时间(秒)
time_s","叶子状态（行为树最深活跃状态名）
leaf_state","状态ID链
state_id_chain
(17/3/9 形式，对照 behbnd 层级)","主体动画ID
motion_clip
（CMSG_Motion 下半身动画）","动画层ID
anime_clip
（CMSG_Anime）","脸部动画ID
face_clip","本帧全部动画(\|分隔)
all_clips","主动画英文名
motion_clip_en","主动画中文名
motion_clip_cn","主动画时长(秒)
motion_clip_dur","状态效果ID
motion_clip_speffect","帧聚合ID
debug_unique_id（判断切换点）"
426,7.1,StandMaveLoop,17/0/0,,,a000_790010,a000_790010,,,,,128
427,7.117,StandMaveLoop,17/0/0,,,a000_790010,a000_790010,,,,,128
428,7.133,StandMaveLoop,17/0/0,,,a000_790010,a000_790010,,,,,128
429,7.15,StandMaveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",129
430,7.167,StandMaveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",129
431,7.183,StandMaveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",129
432,7.2,StandMaveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",129
433,7.217,StandMaveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",129
434,7.233,StandMaveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",130
435,7.25,StandMaveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",130
436,7.267,StandMaveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",130
437,7.283,StandMaveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",130
438,7.3,StandMaveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",130
439,7.317,StandMaveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",130
440,7.333,StandMaveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",130
441,7.35,StandMaveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",130
442,7.367,StandMaveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",131
443,7.383,StandMoveloop,17/0/0,,,a000_790010,a000_790010,,,,,132
444,7.4,StandMoveloop,17/0/0,,,a000_790010,a000_790010,,,,,132
445,7.417,StandMaveloop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",133
446,7.433,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",134
447,7.45,StandMoveloop,17/0/0,,a000_000500_Anime,a000_790010,a000_000500_Anime|a000_790010,,,,,135
448,7.467,StandMoveloop,17/0/0,,a000_000500_Anime,a000_790010,a000_000500_Anime|a000_790010,,,,,135
449,7.483,StandMoveloop,17/0/0,,a000_000500_Anime,a000_790010,a000_000500_Anime|a000_790010,,,,,135
450,7.5,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",136
451,7.517,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",137
452,7.533,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",137
